Date,VIE.PA,VIV.PA
2005-01-03,13.41557788848877,9.418770790100098
2005-01-04,13.160268783569336,9.570841789245605
2005-01-05,13.175287246704102,9.531848907470703
2005-01-06,13.315441131591797,9.481170654296875
2005-01-07,13.29543399810791,9.492855072021484
2005-01-10,13.220346450805664,9.426586151123047
2005-01-11,13.065174102783203,9.383722305297852
2005-01-12,12.789856910705566,9.157605171203613
2005-01-13,12.674698829650879,9.200467109680176
2005-01-14,12.945027351379395,9.235553741455078
2005-01-17,12.96004581451416,9.3447265625
2005-01-18,12.844889640808105,9.36031723022461
2005-01-19,12.939986228942871,9.301822662353516
2005-01-20,13.025106430053711,9.282325744628906
2005-01-21,13.310453414916992,9.247238159179688
2005-01-24,13.500649452209473,9.196558952331543
2005-01-25,13.500649452209473,9.294047355651855
2005-01-26,13.36049747467041,9.379815101623535
2005-01-27,13.265397071838379,9.379815101623535
2005-01-28,13.350464820861816,9.352500915527344
2005-01-31,13.725922584533691,9.461670875549316
2005-02-01,13.826057434082031,9.512350082397461
2005-02-02,13.775964736938477,9.699472427368164
2005-02-03,13.595796585083008,9.609798431396484
2005-02-04,13.961172103881836,9.551345825195312
2005-02-07,13.961172103881836,9.590301513671875
2005-02-08,13.695883750915527,9.594206809997559
2005-02-09,13.610763549804688,9.586434364318848
2005-02-10,13.580730438232422,9.625429153442383
2005-02-11,13.640799522399902,9.715062141418457
2005-02-14,13.615805625915527,9.687790870666504
2005-02-15,13.755960464477539,9.824233055114746
2005-02-16,13.575737953186035,9.679974555969238
2005-02-17,13.550694465637207,9.668292045593262
2005-02-18,13.50568675994873,9.531848907470703
2005-02-21,13.015077590942383,9.395406723022461
2005-02-22,13.120205879211426,9.297956466674805
2005-02-23,13.065174102783203,9.243371963500977
2005-02-24,12.804875373840332,9.321319580078125
2005-02-25,13.08518123626709,9.395406723022461
2005-02-28,13.15024185180664,9.294047355651855
2005-03-01,13.320430755615234,9.317412376403809
2005-03-02,13.045113563537598,9.297956466674805
2005-03-03,12.934996604919434,9.34859561920166
2005-03-04,13.195297241210938,9.3447265625
2005-03-07,13.245341300964355,9.485078811645508
2005-03-08,12.980052947998047,9.387589454650879
2005-03-09,12.754782676696777,9.410994529724121
2005-03-10,12.82987117767334,9.138106346130371
2005-03-11,12.864945411682129,9.149789810180664
2005-03-14,12.884955406188965,9.0640230178833
2005-03-15,12.965036392211914,9.08742904663086
2005-03-16,13.155282974243164,8.931488037109375
2005-03-17,13.280414581298828,9.091297149658203
2005-03-18,13.330459594726562,9.212148666381836
2005-03-21,13.240352630615234,9.16147232055664
2005-03-22,13.370526313781738,9.15369701385498
2005-03-23,13.465625762939453,9.122516632080078
2005-03-24,13.725922584533691,9.177062034606934
2005-03-25,13.725922584533691,9.177062034606934
2005-03-28,13.725922584533691,9.177062034606934
2005-03-29,13.6558198928833,9.216059684753418
2005-03-30,13.690896987915039,9.188787460327148
2005-03-31,13.695883750915527,9.212148666381836
2005-04-01,13.871112823486328,9.247238159179688
2005-04-04,13.785992622375488,9.0640230178833
2005-04-05,14.02124309539795,9.056207656860352
2005-04-06,14.221518516540527,9.122516632080078
2005-04-07,14.476777076721191,9.36809253692627
2005-04-08,14.471786499023438,9.473356246948242
2005-04-11,14.471786499023438,9.469489097595215
2005-04-12,14.34665298461914,9.33691120147705
2005-04-13,14.49683666229248,9.410994529724121
2005-04-14,14.516839981079102,9.430492401123047
2005-04-15,14.2114896774292,9.208284378051758
2005-04-18,13.996247291564941,8.954853057861328
2005-04-19,13.936174392700195,8.986032485961914
2005-04-20,14.111351013183594,9.036751747131348
2005-04-21,14.231494903564453,9.126382827758789
2005-04-22,14.361671447753906,9.247238159179688
2005-04-25,14.707085609436035,9.235553741455078
2005-04-26,14.712080001831055,9.177062034606934
2005-04-27,14.481818199157715,8.970442771911621
2005-04-28,14.436760902404785,9.052339553833008
2005-04-29,14.596922874450684,9.114701271057129
2005-05-02,14.67201042175293,9.239462852478027
2005-05-03,14.707085609436035,9.021162033081055
2005-05-04,14.652005195617676,9.441761016845703
2005-05-05,14.847240447998047,9.545907020568848
2005-05-06,14.917291641235352,9.581962585449219
2005-05-09,14.902274131774902,9.593964576721191
2005-05-10,15.202635765075684,9.50985336303711
2005-05-11,15.26769733428955,9.457780838012695
2005-05-12,15.192607879638672,9.634035110473633
2005-05-13,15.422868728637695,9.650053977966309
2005-05-16,15.362797737121582,9.766203880310059
2005-05-17,15.28775691986084,9.778250694274902
2005-05-18,15.447917938232422,9.898414611816406
2005-05-19,15.543013572692871,9.894402503967285
2005-05-20,15.643152236938477,9.926437377929688
2005-05-23,15.64814281463623,9.946473121643066
2005-05-24,15.668197631835938,9.866377830505371
2005-05-25,15.673189163208008,9.894402503967285
2005-05-26,15.4079008102417,9.942499160766602
2005-05-27,15.869529724121094,9.874364852905273
2005-05-30,15.854164123535156,9.93848705291748
2005-05-31,15.69543170928955,9.918450355529785
2005-06-01,15.87468433380127,10.01059341430664
2005-06-02,16.002696990966797,9.934469223022461
2005-06-03,15.977073669433594,9.942499160766602
2005-06-06,16.002696990966797,9.834338188171387
2005-06-07,16.06925392150879,9.95048999786377
2005-06-08,16.002696990966797,9.926437377929688
2005-06-09,15.930987358093262,9.914434432983398
2005-06-10,15.915621757507324,10.006577491760254
2005-06-13,15.87468433380127,10.070655822753906
2005-06-14,15.78250503540039,10.102734565734863
2005-06-15,15.454773902893066,10.134773254394531
2005-06-16,15.454773902893066,10.2789888381958
2005-06-17,15.393317222595215,10.28697681427002
2005-06-20,15.336969375610352,10.134773254394531
